Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
Polish Ministry of Science	Polish Ministry of Science and Higher Education - WIET AGH;;Polish Ministry of Science and Higher Education;;Polish Ministry of Science and High Education;;Polish Ministry of Science;;	WOS:000329167500018;;WOS:000264940900001;WOS:000339140100002;WOS:000289207100006;WOS:000266766700006;WOS:000296728600004;;WOS:000379637000003;;WOS:000274325100011;;
Civil Engineering Department of Iran University of Science and Technology  IUST	Civil Engineering Department of Iran University of Science and Technology  IUST;;	WOS:000269585100004;;
G  Harold and Leila Y  Mathers Charitable Foundation	G  Harold and Leila Y  Mathers Charitable Foundation;;	WOS:000346051000022;WOS:000318109300024;;
Donna Ambrose	Donna Ambrose;;	WOS:000330196500047;;
International Campus of Excellence Andalucia TECH	International Campus of Excellence Andalucia TECH;;	WOS:000361571100014;;
Instituto Tecnologico de Morelia	Instituto Tecnologico de Morelia;;	WOS:000395631500112;;
Smart Engineering System and Water and Environmental Research Group University Kebangsaan Malaysia	University Kebangsaan Malaysia;;Smart Engineering System and Water and Environmental Research Group University Kebangsaan Malaysia;;	WOS:000269016400008;;WOS:000321660500012;;
Russian Foundation for Basic Research	Russian Foundation for Basic Research;;	WOS:000248082000025;WOS:000336393800002;WOS:000343362800022;WOS:000297457200009;WOS:000285114100009;;
National Research Foundation	Singapore National Research Foundation under International Research Centre @ Singapore Funding Initiative;;Priority Research Centres Programme through the NRF of Korea;NRF project  Intelligent Smart City Convergence Platform Project;NRF project  Intelligent Smart City Convergence Platform;NRF;National Research Foundation of Korea NRF  grant - Korea government MSIP;National Research Foundation of Korea NRF;National Research Foundation of Korea  NRF  grant - Korean Government  MSIP;National Research Foundation of Korea  NRF  grant - Korea Government;National Research Foundation of Korea  NRF  - Korean government  MSIP;National Research Foundation of Korea  NRF  - Korea government  MSIP;National Research Foundation of Korea  NRF  - Korea Government;National Research Foundation of Korea  NRF;National Research Foundation  NRF;Leading Foreign Research Institute Recruitment Program through the National Research Foundation of Korea  NRF;Basic Sience Research Program through the national Research Foundation of Korea  NRF  - Ministry of Education;Basic Science Research Program through the National Research Foundation of Korea  NRF  - Ministry of Science ICT and Future Planning;Basic Science Research Program through the National Research Foundation of Korea  NRF  - Ministry of Education Science and Technology;Basic Science Research Program through the National Research Foundation of Korea  NRF  - Ministry of Education;Basic Science Research Program through National Research Foundation of Korea  NRF  - Ministry of Education;;National Research Foundation South Africa;;National Research Foundation Prime Minister's Office Singapore under Competitive Research Programme;;National Research Foundation of South Africa under the Joint Italy - South Africa Science and Technology Agreement;;National Research Foundation of Korea;;National Research Foundation;;national research;;	WOS:000340212700005;;WOS:000326177800017;WOS:000401800200156;WOS:000392122900112;WOS:000318143200003;WOS:000402634700002;WOS:000299027100013;WOS:000351598400023;WOS:000357469500037;WOS:000378466400014;WOS:000348094900013;WOS:000371388200060;WOS:000339135700008;WOS:000371777100009;WOS:000333004500015;WOS:000303281600041;WOS:000303281600077;WOS:000306247700013;WOS:000306512600001;WOS:000380627400001;WOS:000362047800027;WOS:000383378500011;WOS:000365053200033;WOS:000372734400002;WOS:000377983800068;;WOS:000327734800073;;WOS:000391174400013;;WOS:000247362100007;;WOS:000356207200038;WOS:000297823300157;;WOS:000377998800007;WOS:000353722300005;;WOS:000333806700147;;
National Trauma Institute	National Trauma Institute;;	WOS:000330808500010;;
Shanghai Key Laboratory of Financial Information Technology  Shanghai University of Finance and Economics	Shanghai Key Laboratory of Financial Information Technology  Shanghai University of Finance and Economics;;	WOS:000365052700011;;
Disability Essex	Disability Essex;;	WOS:000301155300135;;
Spanish Ministry of Economy and Competitiveness   MINECO	Spanish Ministry of Economy and Competitiveness;;Spanish Ministry of Economy and Competitiveness  MINECO;Spanish Ministry of Economy and Competitiveness   MINECO;Spanish MINECO;Spanish Government under research project MINECO;Project MINECO;MINECO Spain;MINECO;;	WOS:000396580800080;WOS:000330738900001;WOS:000341553200021;WOS:000379637900011;WOS:000363259500008;WOS:000324510900010;WOS:000313929600008;;WOS:000367627900018;WOS:000343092000016;WOS:000347467300068;WOS:000400488301028;WOS:000345084600040;WOS:000365062000004;WOS:000378939400031;WOS:000332888200008;WOS:000359548100009;WOS:000326081400003;;
DOD Counterdrug Technology Development Program Office	EVE;;DOD Counterdrug Technology Development Program Office;;	WOS:000295290400003;;WOS:000378438600007;;
Artificial Intelligence in Alternative Conflict Resolution	TIARAC - Telematics and Artificial Intelligence in Alternative Conflict Resolution;;Artificial Intelligence in Alternative Conflict Resolution;;	WOS:000289448400016;;WOS:000294044700007;;
Deanship of Scientific Research Qassim University Saudi Arabia	scientific research;;Deanship of Scientific Research Qassim University Saudi Arabia;;	WOS:000270578200110;;WOS:000276785100052;WOS:000276785100051;;
Grant Agency of the Czech Republic	Grant Agency of the Czech Republic;;	WOS:000400688200034;;
2013 major projects of the Ministry of education's humanities and social science research base	Ministry of Education;;2013 major projects of the Ministry of education's humanities and social science research base;;	WOS:000356617200001;;WOS:000335121000112;;
Polish Government	Polish Government;;	WOS:000371691400023;;
European Research Council  COMPLEX REASON	European Research Council;;European Research Council  COMPLEX REASON;;	WOS:000294113000027;WOS:000292222400012;;WOS:000358624300005;;
Iran's national Elites foundation	Iran's national Elites foundation;;	WOS:000332673600005;;
National Centre for Research and Development	Polish National Centre for Research and Development project;;National Centre for Research and Development;;EVE;;CEN;;	WOS:000354125700042;;WOS:000392135300028;WOS:000393191900039;;WOS:000295290400003;;WOS:000392233300002;;
Spanish Ministerio de Educacion y Ciencia  MEC	Spanish Ministerio de Educacion y Ciencia;;Spanish  Ministerio de Educacion;;Ministerio de Educacion y Ciencia;;Spanish Ministry of Education and Science  MEC;Spanish Ministry  MEC;Spanish Ministerio de Educacion y Ciencia  MEC;Spanish MEC MEDICI;Spanish MEC;MEC THOMAS;MEC I+D;MEC;;	WOS:000280967800005;;WOS:000313369800002;;WOS:000269281800006;WOS:000284076000009;WOS:000287085500004;WOS:000261687100013;;WOS:000247362100007;WOS:000238916300035;WOS:000284667900005;WOS:000238908200007;WOS:000249266000020;WOS:000336252700005;WOS:000268043000001;WOS:000250338600004;WOS:000284667900005;;
Hutton Honors College Summer Research Grant	Hutton Honors College Summer Research Grant;;	WOS:000248557700031;;
Konkuk University	Konkuk University;;	WOS:000391083900003;;
Fonds quebecois de la recherche sur la nature et les technologies	Fonds quebecois de la recherche sur la nature et les technologies  NATEQ;;Fonds Quebecois sur la Nature et les Technologies  FQRNT;Fonds Quebecois de la Recherche sur la Nature et les Technologies  FQRNT;;Fonds quebecois de la recherche sur la nature et les technologies;;	WOS:000274499500003;;WOS:000280941500002;WOS:000284687600004;;WOS:000302916600003;;
Health Resources and Services Administration	Health Resources and Services Administration;;	WOS:000340880000020;;
Portuguese Government	Portuguese Government;;	WOS:000309341303004;WOS:000318998000021;;
National Council of Technological and Scientific Development  CNPq	National Council of Technological and Scientific Development  CNPq;;EVE;;CNPq;;	WOS:000302503900017;WOS:000352370700001;;WOS:000295290400003;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
Institute for Education Sciences	Institute for Education Sciences;;	WOS:000277026000043;;
SIRIS	SIRIS;;	WOS:000297260400029;;
European Convergence Office	European Convergence Office;;	WOS:000393815900077;;
Future of Humanity Institute	Future of Humanity Institute;;	WOS:000338009300003;;
EC under IP SME programme	EC under IP SME programme;;	WOS:000268740800150;;
Western Parana State University  Unioeste	Western Parana State University  Unioeste;;	WOS:000382273700022;;
Center for Integrated Facility Engineering  CIFE  at Stanford University	Stanford University;;Center for Integrated Facility Engineering  CIFE  at Stanford University;;CEN;;	WOS:000288973900009;WOS:000270383800003;;WOS:000309332800011;;WOS:000392233300002;;
AstraZeneca	AstraZeneca;;	WOS:000317416000020;;
Ministry of Education Science and Technological Development of the Republic of Serbia	Ministry of Education Science and Technological Development of the Republic of Serbia;;Ministry of Education;;FSE;;EVE;;	WOS:000360138100005;WOS:000368776200003;;WOS:000356617200001;;WOS:000273078400007;;WOS:000295290400003;;
Polish National Centre of Science	Polish National Centre of Science;;CEN;;	WOS:000336613600020;;WOS:000392233300002;;
Spintel Ltd	Spintel Ltd;;	WOS:000343118600008;;
Genigraph company  GenitechGroup	Genigraph company  GenitechGroup;;	WOS:000247363900009;;
Natural Science Foundation of Hebei Province	Natural Science Foundation of Hebei Province;;Natural Science Foundation;;	WOS:000274484000010;;WOS:000263584100063;;
Architecture and Building Research Institute  Taiwan	Architecture and Building Research Institute  Taiwan;;	WOS:000313620900007;;
EC  through Artist2  in Portugal	EC  through Artist2  in Portugal;;	WOS:000281445600026;WOS:000275019400002;;
Grant Agency of the Czech Technical University in Prague	Grant Agency of the Czech Technical University in Prague;;CHTE;;	WOS:000312724900014;WOS:000343524000009;WOS:000326113700056;;WOS:000313514200006;;
INIA-FEDER projects	INIA-FEDER projects;;	WOS:000362382200003;;
VTT	VTT;;	WOS:000253310600040;;
Jiangsu University College Student Scientific Research Project	scientific research;;Jiangsu University College Student Scientific Research Project;;	WOS:000270578200110;;WOS:000311978100042;;
Eidos Interactive Ltd	Eidos Interactive Ltd;;	WOS:000295471600001;;
ARINF	ARINF;;	WOS:000337555500007;;
Japan's Ministry of Land Infrastructure Transport and Tourism  MLIT	Ministry of Land Infrastructure Transport and Tourism  MLIT;Japan's Ministry of Land Infrastructure Transport and Tourism  MLIT;;	WOS:000337617302104;WOS:000354049800006;;
Roberto Rocca Foundation	Roberto Rocca Foundation;;	WOS:000333947600021;;
cloud group at the School of Computer Science of the University of St Andrews	cloud group at the School of Computer Science of the University of St Andrews;;	WOS:000326918800003;;
EU Directorate General Information Society and Media	EU Directorate General Information Society and Media;;	WOS:000278441500008;;
Ministry of Higher Education and Research France	Ministry of Higher Education and Research France;;Ministry of Higher Education;;Higher Education;;	WOS:000334103300014;;WOS:000397991500003;;WOS:000274325100011;;
Slovene	Slovene;;	WOS:000356240700011;;
U S  Department of Transportation	U S  Department of Transportation;;	WOS:000318147900011;;
College Natural Science Foundation of Jiangsu Province in China	Natural Science Foundation of Jiangsu Province;;Natural Science Foundation;;College Natural Science Foundation of Jiangsu Province in China;;	WOS:000375131500001;;WOS:000263584100063;;WOS:000288142900202;;
Youth Research Foundation of Jilin University	Youth Research Foundation of Jilin University;;	WOS:000303428601089;;
General Council of Superior Technological Education of Mexico  DGEST	General Council of Superior Technological Education of Mexico  DGEST;;	WOS:000296350100012;WOS:000274563200039;WOS:000289122400003;WOS:000306542400012;;
Foundation for University Key Teacher by the Beijing Education Commission	Foundation for University Key Teacher by the Beijing Education Commission;;	WOS:000255017800034;;
Junta de Comunidades de Castilla-La Mancha within the AULA-T project	Junta de Comunidades de Castilla-La Mancha;;Junta de Comunidades de Castilla-La Mancha within the AULA-T project;;	WOS:000370646300026;;WOS:000325854200015;;
Research Project of Science and Technology	Research Project of Science and Technology;;	WOS:000291328800036;;
Bogazici University	Bogazici University;;	WOS:000261412500005;;
Intelligent Machines Research Group at Tecnologico de Monterrey	Tecnologico de Monterrey;;Intelligent Machines Research Group at Tecnologico de Monterrey;;	WOS:000338545300029;;WOS:000331864000004;;
United States National Science Foundation	United States National Science Foundation;;National Science Foundation;;	WOS:000357392900006;;WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;
Doctor Foundation of Henan University of Science and Technology	Doctor Foundation of Henan University of Science and Technology;;	WOS:000289913000212;;
Fundation of State Key Laboratory of Robotics	Fundation of State Key Laboratory of Robotics;;	WOS:000354918600064;;
Spanish Government of Ministerio de Economia y Competitividad	Spanish Government of Ministerio de Economia y Competitividad;;Spanish government;;Spanish Gov;;	WOS:000375153700109;;WOS:000299185100026;WOS:000363346100023;WOS:000284863200161;WOS:000296883600002;;WOS:000352173800002;;
Toledo Area Regional Transit Authority  TARTA	Toledo Area Regional Transit Authority  TARTA;;	WOS:000318147900011;;
Zhejiang Provincial Natural Science Foundation of China	Zhejiang Provincial Natural Science Foundation of China;;Natural Science Foundation of China;;Natural Science Foundation;;	WOS:000295597500015;WOS:000310949500068;;WOS:000251134500011;WOS:000255017800034;WOS:000263829500091;WOS:000284970100061;WOS:000342328800007;WOS:000378801600005;WOS:000292279501292;WOS:000365573200021;WOS:000387300700002;WOS:000260076600002;WOS:000322269500001;WOS:000361201700001;WOS:000332807700006;WOS:000266672300002;;WOS:000263584100063;;
MacArthur Foundation	MacArthur Foundation;;	WOS:000353034000004;;
University Teknologi PETR ONAS for providing the data	University Teknologi PETR ONAS for providing the data;;	WOS:000332201903059;;
UAMADIC	UAMADIC;;	WOS:000342910700006;;
Qing Lan Project of Jiangsu Province	Qing Lan Project of Jiangsu Province;;	WOS:000313544100074;;
Beijing Education Committee Fund	MIT;;Beijing Education Committee Fund;;	WOS:000251947700016;;WOS:000397238400003;;
RIVUPH	RIVUPH;;	WOS:000387052400007;;
HFSP	HFSP;;	WOS:000270073700002;;
Polytechnic Institute of Leiria  Portugal	Polytechnic Institute of Leiria  Portugal;;	WOS:000307642700011;;
TERNIUM-Hylsa	TERNIUM-Hylsa;;	WOS:000294964100005;WOS:000288268400011;;
Centre for Ionic Liquids  UMCiL  University of Malaya	University of Malaya;;Centre for Ionic Liquids  UMCiL  University of Malaya;;CEN;;	WOS:000355142800058;WOS:000373911500028;WOS:000372926000012;WOS:000384228700021;WOS:000383547400004;WOS:000362007900015;WOS:000359399700005;WOS:000353384600011;WOS:000363534600005;WOS:000355028500011;WOS:000325591200004;WOS:000369524200001;WOS:000331019800034;WOS:000340850800013;WOS:000333287200021;;WOS:000312626800022;WOS:000300276700010;;WOS:000392233300002;;
Independent innovation and achievements transformation special in shandong province	Independent innovation and achievements transformation special in shandong province;;EVE;;	WOS:000398912400071;;WOS:000295290400003;;
National Centre of Science Poland	National Centre of Science Poland;;CEN;;	WOS:000388047400007;;WOS:000392233300002;;
Castilla La Mancha Government	Castilla La Mancha Government;;	WOS:000301615600003;;
Romanian Ministry of Education and Research	Romanian Ministry of Education and Research;;Ministry of Education and Research;;Ministry of Education;;	WOS:000268805700053;WOS:000286856300005;;WOS:000260369300036;;WOS:000356617200001;;
national natural science funds of China	national natural science funds of China;;	WOS:000266694700016;;
Square Enix	Square Enix;;	WOS:000295471600001;;
Coordinator Ship of Selcuk University	Selcuk University;;FSE;;Coordinator Ship of Selcuk University;;	WOS:000370639600039;WOS:000304512900070;WOS:000309878400024;WOS:000286904600062;WOS:000283080500005;WOS:000278424600053;;WOS:000273078400007;;WOS:000378616600004;;
ForEAdapt	ForEAdapt;;	WOS:000359887500023;;
Care Apparel Centre Institute of Textiles and Clothing The Hong Kong Polytechnic University	The Hong Kong Polytechnic University;;Hong Kong Polytechnic University;;CEN;;Care Apparel Centre Institute of Textiles and Clothing The Hong Kong Polytechnic University;;	WOS:000304755100007;;WOS:000264528600091;WOS:000344444200048;WOS:000317162900002;WOS:000292540800006;WOS:000263827201018;WOS:000283447800002;WOS:000281591300120;WOS:000288343900110;WOS:000317162900003;;WOS:000392233300002;;WOS:000289734900003;;
Higher Education Research Promotion and National Research University Project of Thailand Office of Higher Education Commission	National Research University Project;;National Research University;;national research;;Higher Education Research Promotion and National Research University Project of Thailand Office of Higher Education Commission;;Higher Education;;	WOS:000335110600026;WOS:000330630300062;;WOS:000295875700026;WOS:000286557300012;;WOS:000333806700147;;WOS:000344674300001;;WOS:000274325100011;;
National Council of Science and Technology  CONACYT-MEXICO	NAC;;National Council of Science and Technology  CONACYT-MEXICO;;CONACyT;;	WOS:000318143200003;;WOS:000261320400157;;WOS:000332794600024;WOS:000395631500112;WOS:000319408400005;WOS:000346705600317;WOS:000342784500015;WOS:000347263800126;WOS:000338922300004;WOS:000296470400006;WOS:000310476100004;WOS:000338604700037;WOS:000302524200003;WOS:000332403600020;WOS:000282704400003;WOS:000288102600017;WOS:000309789800005;WOS:000265091900010;WOS:000282204300011;WOS:000309727300005;;
research grant from the Israeli Cancer Association	research grant from the Israeli Cancer Association;;	WOS:000332638100003;;
Beijing Science and Technology Program	Beijing Science and Technology Program;;	WOS:000354625600018;;
Fundacao de Amparo A Pesquisa do Estado do Rio de Janeiro	Fundacao de Amparo A Pesquisa do Estado do Rio de Janeiro;;	WOS:000318195000021;;
Natural Science Foundation of Hunan Province	Natural Science Foundation of Hunan Province;;Natural Science Foundation;;	WOS:000393315900154;;WOS:000263584100063;;
Chongqing Natural Science Foundation	Natural Science Foundation;;Chongqing Natural Science Foundation;;	WOS:000263584100063;;WOS:000267355000044;;
Science Fund of Malaysian Ministry of Science Technology and Innovation	Science Fund of Malaysian Ministry of Science Technology and Innovation;;Ministry of Science Technology and Innovation;;	WOS:000375167400002;;WOS:000356617200001;;
AHRQ HHS	AHRQ HHS;;	WOS:000255360000014;WOS:000236113700005;;
research Junta de Castilla-La Mancha	research Junta de Castilla-La Mancha;;	WOS:000264095300045;;
Czech Technical University in Prague Faculty of Biomedical Engineering	Czech Technical University in Prague Faculty of Biomedical Engineering;;CHTE;;	WOS:000340672300014;;WOS:000313514200006;;
Jepson Fellowship - the University of Mary Washington	Jepson Fellowship - the University of Mary Washington;;	WOS:000387254400005;;
Portuguese Foundation for Science and Technology  FCT  in the aims of Ciencia program for the hiring of Post-PhD researchers	Portuguese Foundation for Science and Technology;;Technology and Science Foundation  FCT;Science and Technology Foundation Ministry of Education and Science  FCT  in Portugal;Portuguese Science and Research Foundation FCT  Fundacao para a Ciencia e a Tecnologia;Portuguese Funds through the FCT  Portuguese Foundation for Science and Technology;Portuguese Foundation for Science and Technology  FCT  in the aims of Ciencia program for the hiring of Post-PhD researchers;Portuguese Foundation for Science and Technology  FCT;Portuguese FCT - ACORD - Adaptative Coordination of Robotic Teams;National Funds through FCT - Foundation for Science and Technology;National Funds through FCT;national funds  FCT - Portuguese Foundation for Science and Technology;Fundacao para a Ciencia e Tecnologia  FCT  with PhD scholarship;Fundacao para a Ciencia e Tecnologia  FCT  Portugal;Fundacao para a Ciencia e Tecnologia  FCT  in Portugal;Fundacao para a Ciencia e Tecnologia  FCT;Foundation for Science and Technology  FCT Portugal;Foundation for Science and Technology  FCT;FCT  through the CISTER/IPP-HURRAY research unit;FCT  The Portuguese Foundation for Science and Technology;FCT  Science &Technology Foundation  Portugal;FCT  Science & Technology Foundation  Portugal;FCT - Portuguese Science and Technology Foundation;FCT  INESC-ID  through the PIDDAC;FCT - Fundacao para a Ciencia e Tecnologia;FCT  Foundation of Science and Technology Portugal;FCT  Foundation for Science and Technology;FCT;;	WOS:000343698800004;WOS:000324794200004;;WOS:000268424100001;WOS:000336872300020;WOS:000284031000058;WOS:000355958900011;WOS:000393274800112;WOS:000345737600007;WOS:000270543400091;WOS:000395366400002;WOS:000329885000051;WOS:000330939800130;WOS:000363346500001;WOS:000389089000012;WOS:000355889800007;WOS:000334151800008;WOS:000343007400007;WOS:000319641000008;WOS:000392215500015;WOS:000370974500004;WOS:000336872300020;WOS:000284863200069;WOS:000360772500013;WOS:000208699200006;WOS:000281445600026;WOS:000207848000007;WOS:000294044700007;WOS:000393238700014;WOS:000291631100017;WOS:000348845200005;WOS:000330728800003;WOS:000289448400016;WOS:000393629600025;WOS:000299008900013;WOS:000391991800006;WOS:000392352700049;WOS:000379589500033;WOS:000393993000009;WOS:000362553000042;WOS:000348845200005;WOS:000299008900013;WOS:000356735100016;WOS:000273078400007;WOS:000326214700019;;
Portuguese National Science Foundation	Portuguese National Science Foundation;;National Science Foundation;;	WOS:000332074000022;WOS:000338818100009;;WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;
Singapore Ministry of Defence  MINDEF	NGA;;Singapore Ministry of Defence  MINDEF;;	WOS:000282328800025;;WOS:000344131100006;;
Amirkabir University of Technology  AUT  research fund	AUT SRIF;Amirkabir University of Technology  AUT  research fund;;	WOS:000382677500006;WOS:000365431200004;;
Acerta	Acerta;;	WOS:000394446804110;;
Research Grant Council of the Hong Kong Special Administrative Region	Research Grant Council of the Hong Kong Special Administrative Region China;;Research Grant Council of the Hong Kong Special Administrative Region;;	WOS:000367494200006;;WOS:000350524500001;;
University of Amsterdam	University of Amsterdam;;	WOS:000328684600013;WOS:000329490300002;;
Slovak Grant Agency VEGA  Ministry of Education   Intelligent Approach to Automated Diagnostic Problem Solving of Machinery Equipment	VEGA Energy Balance Research on Rainwater Management in the Cities of the Future;VEGA --- Algorithms of situational control and modeling of large scale systems;VEGA;Slovak Grant Agency VEGA  Ministry of Education   Intelligent Approach to Automated Diagnostic Problem Solving of Machinery Equipment;;Ministry of Education;;	WOS:000341101700063;WOS:000270614000019;WOS:000259867600062;WOS:000277230700101;WOS:000287263100025;WOS:000264374300013;WOS:000209349300006;WOS:000394059800005;;WOS:000356617200001;;
Science Foundation of Ireland  SFI	SFI PI;Science Foundation of Ireland  SFI;Science Foundation Ireland  SFI;;	WOS:000305440000012;WOS:000273246400043;WOS:000376291400005;WOS:000345861900044;;
FPI-UAM	FPI-UAM;;	WOS:000342910700006;;
EEDSM Hub	EEDSM Hub;;	WOS:000318143200003;;
Cooperative Research Centre for Spatial Information - Business Cooperative Research Centres Program	Cooperative Research Centre for Spatial Information - Business Cooperative Research Centres Program;;CEN;;	WOS:000393155600007;;WOS:000392233300002;;
EDIC Seed Fund of the Faculty of Engineering National University of Singapore	NGA;;National University of Singapore;;Faculty of Engineering;;EDIC Seed Fund of the Faculty of Engineering National University of Singapore;;	WOS:000282328800025;;WOS:000283450900005;;WOS:000340850800013;;WOS:000345701200030;;
EU Aided Asia IT & C of China  Integration and application of technology on rural compositive information services	POSI;;EU Aided Asia IT & C of China  Integration and application of technology on rural compositive information services;;	WOS:000207848000007;;WOS:000253656300035;WOS:000253488100037;WOS:000277384800069;WOS:000393467600135;WOS:000271056200012;WOS:000343602800147;WOS:000263062200010;WOS:000279714600006;WOS:000333999000011;WOS:000341089700006;WOS:000282113800004;WOS:000321051200244;WOS:000271346900005;WOS:000353640300025;WOS:000323705500006;WOS:000259772800002;WOS:000265888400016;WOS:000301830800004;WOS:000317376900018;WOS:000274569000001;;
Government of Andalusia	Government of Andalusia;;	WOS:000367758200062;;
Ontario Centers of Excellence	Ontario Centers of Excellence;;CEN;;	WOS:000288454300011;;WOS:000392233300002;;
Republicof Bulgaria	Republicof Bulgaria;;	WOS:000343134300035;;
Spain's Ministerio de Educacion y Ciencia	Spain's Ministerio de Educacion y Ciencia;;Ministerio de Educacion y Ciencia;;	WOS:000273386600010;;WOS:000269281800006;WOS:000284076000009;WOS:000287085500004;WOS:000261687100013;;
Chinese National Engineering Laboratory for Information Content Analysis Technology	Chinese National Engineering Laboratory for Information Content Analysis Technology;;	WOS:000349547300008;;
French National Institute for Transport and Safety Research  INRETS	French National Institute for Transport and Safety Research  INRETS;;	WOS:000259125500007;;
RGC Competitive Earmarked Research Grant	RGC Competitive Earmarked Research Grant;RGC;;	WOS:000245452402024;WOS:000326032900018;;
Iranian Central Oil Fields Company	Iranian Central Oil Fields Company;;CEN;;	WOS:000315647700029;;WOS:000392233300002;;
RITFIM	RITFIM;;	WOS:000359162600003;;
Akdeniz University Hospital	Akdeniz University Hospital;;	WOS:000261398600003;;
Umm Al-Qura University Makkah Kingdom of Saudi Arabia  Ministry of Higher Education Malaysia	Umm Al-Qura University Makkah Kingdom of Saudi Arabia  Ministry of Higher Education Malaysia;;Ministry of Higher Education Malaysia;;Ministry of Higher Education  Malaysia;;Ministry of Higher Education;;Higher Education;;	WOS:000292076400008;;WOS:000349904800094;WOS:000333917100001;WOS:000333716800048;WOS:000387590600019;WOS:000364883900138;;WOS:000338810900030;;WOS:000397991500003;;WOS:000274325100011;;
Korean Ministry of Education Science and Technology	Ministry of Education Science and Technology;;Ministry of Education  Science and Technology;;Ministry of Education;;Korean Ministry of Education Science and Technology;;	WOS:000299027100013;;WOS:000278219200001;;WOS:000356617200001;;WOS:000294089500028;;
research and development council of the county Sodra Alvsborg	research and development council of the county Sodra Alvsborg;;EVE;;	WOS:000340018800007;;WOS:000295290400003;;
Ministry of Higher Education and Scientific Research  Algiers	scientific research;;Ministry of Higher Education and Scientific Research  Algiers;;Ministry of Higher Education;;Higher Education;;	WOS:000270578200110;;WOS:000282845000030;;WOS:000397991500003;;WOS:000274325100011;;
Israeli Science Foundation	Israeli Science Foundation;;	WOS:000298055300003;WOS:000345330000004;;
College of Arts & Sciences Durham Science Center University of Nebraska Omaha Nebraska USA	Purdue University West Lafayette Indiana USA;Office of Naval Research USA;National Science Foundation USA;National Institutes of Health National Cancer Institute USA;James S  McDonnell Foundation USA;Gustavus and Louise Pfeiffer Research Foundation Denville NJ USA;Fuji Medical Systems USA;College of Arts & Sciences Durham Science Center University of Nebraska Omaha Nebraska USA;Boeing Corp   USA;;CEN;;	WOS:000287081100015;WOS:000322939700024;WOS:000319152500023;WOS:000331685800009;WOS:000312535100001;WOS:000352486100001;WOS:000312535100001;WOS:000275551400002;WOS:000302993200002;WOS:000209203300005;;WOS:000392233300002;;
MFMSuite	MFMSuite;;	WOS:000347671100003;;
